name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_40,44.0,40.0,tmx,1,0,-3.5807201862335205,2.02594256401062,0.0904552415013313
44_40,44.0,40.0,tmx,1,1,-2.1944355964660645,2.0694267749786377,0.3201948702335357
44_40,44.0,40.0,tmx,1,2,2.2262558937072754,2.140674114227295,0.6540058255195618
44_40,44.0,40.0,tmx,1,3,9.320273399353027,2.1171507835388184,0.3967041075229645
44_40,44.0,40.0,tmx,1,4,16.003067016601562,1.53714120388031,0.0500302799046039
44_40,44.0,40.0,tmx,1,5,20.79585266113281,1.4990097284317017,0.4556018114089966
44_40,44.0,40.0,tmx,1,6,24.454177856445312,1.4616597890853882,0.0960591658949852
44_40,44.0,40.0,tmx,2,0,-1.3784252405166626,2.0347282886505127,0.3201948702335357
44_40,44.0,40.0,tmx,2,1,2.559293270111084,2.276348352432251,0.6540058255195618
44_40,44.0,40.0,tmx,2,2,9.451722145080566,2.02471923828125,0.3967041075229645
44_40,44.0,40.0,tmx,2,3,15.878154754638672,1.5338536500930786,0.0500302799046039
44_40,44.0,40.0,tmx,2,4,20.697736740112305,1.3698235750198364,0.4556018114089966
44_40,44.0,40.0,tmx,2,5,24.276498794555664,1.5471783876419067,0.0960591658949852
44_40,44.0,40.0,tmx,2,6,24.630041122436523,1.4677677154541016,0.995936393737793
44_40,44.0,40.0,tmx,3,0,4.343916893005371,2.392390727996826,0.6540058255195618
44_40,44.0,40.0,tmx,3,1,9.808355331420898,2.0485739707946777,0.3967041075229645
44_40,44.0,40.0,tmx,3,2,15.923383712768556,1.5762145519256592,0.0500302799046039
44_40,44.0,40.0,tmx,3,3,20.67323112487793,1.397325873374939,0.4556018114089966
44_40,44.0,40.0,tmx,3,4,24.400554656982425,1.5186479091644287,0.0960591658949852
44_40,44.0,40.0,tmx,3,5,24.662464141845703,1.510845422744751,0.995936393737793
44_40,44.0,40.0,tmx,3,6,21.05621910095215,1.4865880012512207,0.8592661023139954
44_40,44.0,40.0,tmx,4,0,10.429795142075058,1.635082342889363,0.3967041075229645
44_40,44.0,40.0,tmx,4,1,16.054745887592627,1.4252611471478878,0.0500302799046039
44_40,44.0,40.0,tmx,4,2,20.875848109086476,1.3582711308699662,0.4556018114089966
