x,value
1-1,1.83
2-1,1.83
3-1,1.83
4-1,1.83
5-1,1.83
6-1,1.83
7-1,1.83
8-1,1.83
9-1,2.33
10-1,2.33
11-1,2.33
12-1,2.33
13-1,2.33
14-1,2.33
15-1,2.33				
16-1,2.33
17-1,2.33
18-1,2.33
19-1,2.33
20-1,2.33
21-1,2.33
22-1,2.33
23-1,2.33
24-1,3.35
25-1,3.35
26-1,3.35
27-1,3.35
28-1,3.35
29-1,3.35
30-1,3.35
31-1,3.35
1-2,3.35
2-2,3.35
3-2,3.35
4-2,3.35
5-2,3.35
6-2,3.35
7-2,3.35
8-2,4.74
9-2,4.74
10-2,4.74
11-2,4.74
12-2,4.74
13-2,4.74
14-2,4.74
15-2,4.74
16-2,4.74
17-2,4.74
18-2,4.74
19-2,4.74
20-2,4.74
21-2,4.74
22-2,4.74
23-2,6.4
24-2,6.4
25-2,6.4
26-2,6.4
27-2,6.4
28-2,6.4
29-2,6.4
1-3,6.4
2-3,6.4
3-3,6.4
4-3,6.4
5-3,6.4
6-3,6.4
7-3,6.4
8-3,8.37
9-3,8.37
10-3,8.37
11-3,8.37
12-3,8.37
13-3,8.37
14-3,8.37
15-3,8.37
16-3,8.37
17-3,8.37
18-3,8.37
19-3,8.37
20-3,8.37
21-3,8.37
22-3,8.37
23-3,10.7
24-3,10.7
25-3,10.7
26-3,10.7
27-3,10.7
28-3,10.7
29-3,10.7
30-3,10.7
31-3,10.7
1-4,10.7
2-4,10.7
3-4,10.7
4-4,10.7
5-4,10.7
6-4,10.7
7-4,10.7
8-4,13.19
9-4,13.19
10-4,13.19
11-4,13.19
12-4,13.19
13-4,13.19
14-4,13.19
15-4,13.19
16-4,13.19
17-4,13.19
18-4,13.19
19-4,13.19
20-4,13.19
21-4,13.19
22-4,13.19
23-4,15.51
24-4,15.51
25-4,15.51
26-4,15.51
27-4,15.51
28-4,15.51
29-4,15.51
30-4,15.51
1-5,15.51
2-5,15.51
3-5,15.51
4-5,15.51
5-5,15.51
6-5,15.51
7-5,15.51
8-5,17.41
9-5,17.41
10-5,17.41
11-5,17.41
12-5,17.41
13-5,17.41
14-5,17.41
15-5,17.41
16-5,17.41
17-5,17.41
18-5,17.41
19-5,17.41
20-5,17.41
21-5,17.41
22-5,17.41
23-5,17.41
24-5,18.57
25-5,18.57
26-5,18.57
27-5,18.57
28-5,18.57
29-5,18.57
30-5,18.57
31-5,18.57
1-6,18.57
2-6,18.57
3-6,18.57
4-6,18.57
5-6,18.57
6-6,18.57
7-6,18.57
8-6,18.75
9-6,18.75
10-6,18.75
11-6,18.75
12-6,18.75
13-6,18.75
14-6,18.75
15-6,18.75
16-6,18.75
17-6,18.75
18-6,18.75
19-6,18.75
20-6,18.75
21-6,18.75
22-6,18.75
23-6,18.75
24-6,18.04
25-6,18.04
26-6,18.04
27-6,18.04
28-6,18.04
29-6,18.04
30-6,18.04
1-7,18.04
2-7,18.04
3-7,18.04
4-7,18.04
5-7,18.04
6-7,18.04
7-7,18.04
8-7,18.04
9-7,16.99
10-7,16.99
11-7,16.99
12-7,16.99
13-7,16.99
14-7,16.99
15-7,16.99
16-7,16.99
17-7,16.99
18-7,16.99
19-7,16.99
20-7,16.99
21-7,16.99
22-7,16.99
23-7,16.99
24-7,15.96
25-7,15.96
26-7,15.96
27-7,15.96
28-7,15.96
29-7,15.96
30-7,15.96
31-7,15.96
1-8,15.96
2-8,15.96
3-8,15.96
4-8,15.96
5-8,15.96
6-8,15.96
7-8,15.96
8-8,14.77
9-8,14.77
10-8,14.77
11-8,14.77
12-8,14.77
13-8,14.77
14-8,14.77
15-8,14.77
16-8,14.77
17-8,14.77
18-8,14.77
19-8,14.77
20-8,14.77
21-8,14.77
22-8,14.77
23-8,14.77
24-8,13.04
25-8,13.04
26-8,13.04
27-8,13.04
28-8,13.04
29-8,13.04
30-8,13.04
31-8,13.04
1-9,13.04
2-9,13.04
3-9,13.04
4-9,13.04
5-9,13.04
6-9,13.04
7-9,13.04
8-9,10.8
9-9,10.8
10-9,10.8
11-9,10.8
12-9,10.8
13-9,10.8
14-9,10.8
15-9,10.8
16-9,10.8
17-9,10.8
18-9,10.8
19-9,10.8
20-9,10.8
21-9,10.8
22-9,10.8
23-9,10.8
24-9,8.41
25-9,8.41
26-9,8.41
27-9,8.41
28-9,8.41
29-9,8.41
30-9,8.41
1-10,8.41
2-10,8.41
3-10,8.41
4-10,8.41
5-10,8.41
6-10,8.41
7-10,8.41
8-10,8.41
9-10,6.17
10-10,6.17
11-10,6.17
12-10,6.17
13-10,6.17
14-10,6.17
15-10,6.17
16-10,6.17
17-10,6.17
18-10,6.17
19-10,6.17
20-10,6.17
21-10,6.17
22-10,6.17
23-10,6.17
24-10,4.27
25-10,4.27
26-10,4.27
27-10,4.27
28-10,4.27
29-10,4.27
30-10,4.27
31-10,4.27
1-11,4.27
2-11,4.27
3-11,4.27
4-11,4.27
5-11,4.27
6-11,4.27
7-11,4.27
8-11,2.88
9-11,2.88
10-11,2.88
11-11,2.88
12-11,2.88
13-11,2.88
14-11,2.88
15-11,2.88
16-11,2.88
17-11,2.88
18-11,2.88
19-11,2.88
20-11,2.88
21-11,2.88
22-11,2.88
23-11,2.88
24-11,2.09
25-11,2.09
26-11,2.09
27-11,2.09
28-11,2.09
29-11,2.09
30-11,2.09
1-12,2.09
2-12,2.09
3-12,2.09
4-12,2.09
5-12,2.09
6-12,2.09
7-12,2.09
8-12,2.09
9-12,1.78
10-12,1.78
11-12,1.78
12-12,1.78
13-12,1.78
14-12,1.78
15-12,1.78
16-12,1.78
17-12,1.78
18-12,1.78
19-12,1.78
20-12,1.78
21-12,1.78
22-12,1.78
23-12,1.78
24-12,1.83
25-12,1.83
26-12,1.83
27-12,1.83
28-12,1.83
29-12,1.83
30-12,1.83
31-12,1.83
